year,week,et_value
2015,1,75.0
2015,2,77.0
2015,3,93.0
2015,4,54.0
2015,5,69.0
2015,6,73.0
2015,7,70.66666666666667
2015,8,68.33333333333333
2015,9,66.0
2015,10,71.0
2015,11,78.0
2015,12,90.0
2015,13,112.0
2015,14,113.0
2015,15,144.66666666666666
2015,16,176.33333333333334
2015,17,208.0
2015,18,150.0
2015,19,141.0
2015,20,341.0
2015,21,206.0
2015,22,206.0
2015,23,263.6666666666667
2015,24,321.3333333333333
2015,25,379.0
2015,26,257.0
2015,27,274.0
2015,28,234.0
2015,29,449.0
2015,30,256.0
2015,31,290.6666666666667
2015,32,325.3333333333333
2015,33,360.0
2015,34,276.0
2015,35,246.0
2015,36,288.0
2015,37,234.0
2015,38,244.0
2015,39,228.66666666666666
2015,40,213.33333333333334
2015,41,198.0
2015,42,184.0
2015,43,212.0
2015,44,198.0
2015,45,152.0
2015,46,147.0
2015,47,132.66666666666666
2015,48,118.33333333333333
2015,49,104.0
2015,50,128.0
2015,51,86.0
2015,52,68.0
2016,1,113.0
2016,2,97.0
2016,3,72.0
2016,4,56.0
2016,5,57.0
2016,6,44.0
2016,7,57.0
2016,8,70.0
2016,9,83.0
2016,10,90.0
2016,11,51.0
2016,12,80.0
2016,13,67.0
2016,14,136.0
2016,15,139.0
2016,16,142.0
2016,17,145.0
2016,18,210.0
2016,19,284.0
2016,20,319.0
2016,21,260.0
2016,22,402.0
2016,23,331.6666666666667
2016,24,261.33333333333337
2016,25,191.0
2016,26,202.0
2016,27,375.0
2016,28,205.0
2016,29,224.0
2016,30,227.0
2016,31,241.0
2016,32,255.0
2016,33,269.0
2016,34,191.0
2016,35,271.0
2016,36,252.0
2016,37,369.0
2016,38,227.0
2016,39,219.66666666666666
2016,40,212.33333333333334
2016,41,205.0
2016,42,171.0
2016,43,147.0
2016,44,138.0
2016,45,152.0
2016,46,132.0
2016,47,124.0
2016,48,116.0
2016,49,108.0
2016,50,90.0
2016,51,76.0
2016,52,48.0
2017,1,65.0
2017,2,45.0
2017,3,63.0
2017,4,59.0
2017,5,58.0
2017,6,52.0
2017,7,46.0
2017,8,40.0
2017,9,34.0
2017,10,118.0
2017,11,65.0
2017,12,85.0
2017,13,57.0
2017,14,94.0
2017,15,99.33333333333333
2017,16,104.66666666666667
2017,17,110.0
2017,18,127.0
2017,19,201.0
2017,20,186.0
2017,21,79.0
2017,22,209.0
2017,23,216.66666666666666
2017,24,224.33333333333334
2017,25,232.0
2017,26,244.0
2017,27,208.0
2017,28,212.0
2017,29,260.0
2017,30,331.0
2017,31,294.0
2017,32,257.0
2017,33,220.0
2017,34,214.0
2017,35,253.0
2017,36,247.0
2017,37,258.0
2017,38,271.0
2017,39,245.0
2017,40,219.0
2017,41,193.0
2017,42,176.0
2017,43,155.0
2017,44,131.0
2017,45,83.0
2017,46,84.0
2017,47,78.0
2017,48,72.0
2017,49,66.0
2017,50,51.0
2017,51,52.0
2017,52,31.0
2018,1,62.0
2018,2,39.0
2018,3,56.0
2018,4,66.0
2018,5,56.0
2018,6,71.0
2018,7,73.0
2018,8,75.0
2018,9,77.0
2018,10,76.0
2018,11,43.0
2018,12,73.0
2018,13,104.0
2018,14,58.0
2018,15,75.66666666666667
2018,16,93.33333333333334
2018,17,111.0
2018,18,111.0
2018,19,138.0
2018,20,159.0
2018,21,131.0
2018,22,203.0
2018,23,213.33333333333334
2018,24,223.66666666666666
2018,25,234.0
2018,26,196.0
2018,27,245.0
2018,28,260.0
2018,29,260.0
2018,30,343.0
2018,31,318.0
2018,32,293.0
2018,33,268.0
2018,34,264.0
2018,35,229.0
2018,36,213.0
2018,37,270.0
2018,38,251.0
2018,39,240.0
2018,40,229.0
2018,41,218.0
2018,42,216.0
2018,43,196.0
2018,44,146.0
2018,45,142.0
2018,46,90.0
2018,47,98.0
2018,48,106.0
2018,49,114.0
2018,50,75.0
2018,51,63.0
2018,52,56.0
2019,1,60.0
2019,2,87.0
2019,3,71.0
2019,4,69.0
2019,5,67.0
2019,6,74.0
2019,7,68.66666666666667
2019,8,63.333333333333336
2019,9,58.0
2019,10,69.0
2019,11,101.0
